Game Turn, Mode, Player, Unit, Operation
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
001, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 3, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 3, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 7, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 8, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 9, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 10, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 10, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 11, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 11, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 12, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 12, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 13, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 13, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 14, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 14, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 15, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 15, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SPEARMAN (65536), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (196610), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (327684), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_SKIP_TURN (36)
002, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_SKIP_TURN (36)
002, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
002, Adding, 2, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 2, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 3, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 3, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
003, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
003, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 7, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 8, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 9, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 10, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 10, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 11, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 11, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 12, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 12, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 13, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 13, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 14, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 14, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 15, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 15, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
003, Adding, 63, UNIT_SPEARMAN (65536), UNITOPERATION_FORTIFY (12)
003, Adding, 63, UNIT_SPEARMAN (196610), UNITOPERATION_FORTIFY (12)
003, Adding, 63, UNIT_SPEARMAN (327684), UNITOPERATION_FORTIFY (12)
003, Adding, 63, UNIT_SPEARMAN (458758), UNITOPERATION_FORTIFY (12)
003, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
003, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_MOVE_TO (19)
003, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_MOVE_TO (19)
003, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_MOVE_TO (19)
003, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_SKIP_TURN (36)
003, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
003, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
003, Adding, 2, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 3, UNIT_SCOUT (196608), UNITOPERATION_MOVE_TO (19)
004, Adding, 3, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 3, UNIT_SCOUT (196608), UNITOPERATION_SKIP_TURN (36)
004, Adding, 3, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 5, UNIT_SCOUT (196608), UNITOPERATION_MOVE_TO (19)
004, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 5, UNIT_SCOUT (196608), UNITOPERATION_SKIP_TURN (36)
004, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 7, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 8, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 9, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 10, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 10, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 11, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 11, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 12, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 12, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 13, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 13, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 14, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 14, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 15, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 15, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SPEARMAN (65536), UNITOPERATION_FORTIFY (12)
004, Can't Start, 63, UNIT_SPEARMAN (65536), UNITOPERATION_FORTIFY (12)
004, Adding, 63, UNIT_SPEARMAN (196610), UNITOPERATION_FORTIFY (12)
004, Can't Start, 63, UNIT_SPEARMAN (196610), UNITOPERATION_FORTIFY (12)
004, Adding, 63, UNIT_SPEARMAN (327684), UNITOPERATION_FORTIFY (12)
004, Can't Start, 63, UNIT_SPEARMAN (327684), UNITOPERATION_FORTIFY (12)
004, Adding, 63, UNIT_SPEARMAN (458758), UNITOPERATION_FORTIFY (12)
004, Adding, 63, UNIT_SPEARMAN (589832), UNITOPERATION_FORTIFY (12)
004, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
004, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_SKIP_TURN (36)
004, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_SKIP_TURN (36)
004, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_SKIP_TURN (36)
004, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
004, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
004, Can't Start, 0, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
004, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
