Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2370, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2320, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2321, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 47, 34, -9999, -9999, 2304, ffffffff
